,Intent_prob
122,0.35017159937753867
123,0.35337501957238737
124,0.36074751697519614
125,0.37653010399914566
126,0.3757665762669284
127,0.23468776523348345
128,0.3713059189227045
129,0.1824637783975298
130,0.32105645810652844
131,0.1599122665493288
132,0.30332708068379555
133,0.2773745226058989
134,0.26268058174703957
135,0.26013923434385444
136,0.25742884009382183
137,0.2583963703118874
138,0.26248654518808856
139,0.2586705314899686
140,0.26131603471443554
141,0.26067383338796984
142,0.27277445378013054
143,0.28476796589418985
144,0.27308323778358246
145,0.2686589358251287
146,0.12624013650657218
147,0.2602151371026009
148,0.0926483966500268
149,0.22983409599263357
150,0.20819434174329443
151,0.17388662141558414
152,0.1759455618768114
153,0.1745163962245274
154,0.17115466091437945
155,0.17729488910113322
156,0.16737592828843414
157,0.17634986790095966
158,0.17522235708514156
159,0.028792155333722973
160,0.16867323323774372
161,0.1793536659930051
162,0.1775997310771109
163,0.1745306488878029
164,0.17120639293853815
165,0.18267517931086796
166,0.18411438411923187
167,0.23722506432216053
168,0.2928339167699133
169,0.31646874619041027
170,0.3293830281755062
171,0.36068139286352574
172,0.36654350025975446
173,0.3703271000462233
174,0.3582669322889497
175,0.3350215446541457
176,0.3443828501789876
177,0.3434562002956656
178,0.3548531223358641
179,0.37622097719803715
180,0.39493637991791936
181,0.39314208574122733
182,0.23481465691481987
183,0.38287755218737657
184,0.3461730337201733
185,0.33415661848390177
186,0.2983429907494698
187,0.28197726807641976
188,0.24996568542722997
189,0.23537005473774006
190,0.24018542890431216
191,0.23770708671314816
192,0.2554716524287139
193,0.14179736511474278
194,0.2797341686402176
195,0.3073513441992431
196,0.29970013112571803
197,0.2804543338927894
198,0.06864372150002773
199,0.1942627982915237
200,0.17705522575707008
201,0.19203666292725446
202,0.2370949230512057
203,0.3105572452738988
204,0.34925142753887156
205,0.3039961350167569
206,0.32895626108569875
207,0.3387006636033585
208,0.3539039126993392
209,0.3487714311799549
210,0.3383572220343522
211,0.3196439880240919
