people/person_id/0,people/pose_keypoints_2d/0,people/pose_keypoints_2d/1,people/pose_keypoints_2d/2,people/pose_keypoints_2d/3,people/pose_keypoints_2d/4,people/pose_keypoints_2d/5,people/pose_keypoints_2d/6,people/pose_keypoints_2d/7,people/pose_keypoints_2d/8,people/pose_keypoints_2d/9,people/pose_keypoints_2d/10,people/pose_keypoints_2d/11,people/pose_keypoints_2d/12,people/pose_keypoints_2d/13,people/pose_keypoints_2d/14,people/pose_keypoints_2d/15,people/pose_keypoints_2d/16,people/pose_keypoints_2d/17,people/pose_keypoints_2d/18,people/pose_keypoints_2d/19,people/pose_keypoints_2d/20,people/pose_keypoints_2d/21,people/pose_keypoints_2d/22,people/pose_keypoints_2d/23,people/pose_keypoints_2d/24,people/pose_keypoints_2d/25,people/pose_keypoints_2d/26,people/pose_keypoints_2d/27,people/pose_keypoints_2d/28,people/pose_keypoints_2d/29,people/pose_keypoints_2d/30,people/pose_keypoints_2d/31,people/pose_keypoints_2d/32,people/pose_keypoints_2d/33,people/pose_keypoints_2d/34,people/pose_keypoints_2d/35,people/pose_keypoints_2d/36,people/pose_keypoints_2d/37,people/pose_keypoints_2d/38,people/pose_keypoints_2d/39,people/pose_keypoints_2d/40,people/pose_keypoints_2d/41,people/pose_keypoints_2d/42,people/pose_keypoints_2d/43,people/pose_keypoints_2d/44,people/pose_keypoints_2d/45,people/pose_keypoints_2d/46,people/pose_keypoints_2d/47,people/pose_keypoints_2d/48,people/pose_keypoints_2d/49,people/pose_keypoints_2d/50,people/pose_keypoints_2d/51,people/pose_keypoints_2d/52,people/pose_keypoints_2d/53,people/pose_keypoints_2d/54,people/pose_keypoints_2d/55,people/pose_keypoints_2d/56,people/pose_keypoints_2d/57,people/pose_keypoints_2d/58,people/pose_keypoints_2d/59,people/pose_keypoints_2d/60,people/pose_keypoints_2d/61,people/pose_keypoints_2d/62,people/pose_keypoints_2d/63,people/pose_keypoints_2d/64,people/pose_keypoints_2d/65,people/pose_keypoints_2d/66,people/pose_keypoints_2d/67,people/pose_keypoints_2d/68,people/pose_keypoints_2d/69,people/pose_keypoints_2d/70,people/pose_keypoints_2d/71,people/pose_keypoints_2d/72,people/pose_keypoints_2d/73,people/pose_keypoints_2d/74,target
-1,458.688,142.945,0.819821,523.282,216.341,0.581902,495.402,229.61,0.405514,476.312,392.607,0.128481,452.829,492.485,0.106997,555.603,195.857,0.573283,558.573,369.132,0.463065,464.617,498.361,0.700491,526.267,498.35,0.144921,501.286,496.892,0.127856,0,0,0,0,0,0,548.293,498.358,0.170585,0,0,0,0,0,0,449.924,132.641,0.883984,476.316,123.843,0.926143,0,0,0,521.912,132.695,0.886742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,454.272,147.309,0.915183,521.828,217.853,0.555706,492.495,229.626,0.357806,474.876,385.274,0.0638897,0,0,0,548.311,204.625,0.581099,546.845,382.347,0.452221,463.137,495.43,0.688808,510.117,493.957,0.13689,488.077,491.015,0.116227,0,0,0,0,0,0,532.137,495.414,0.162916,0,0,0,0,0,0,446.941,135.59,0.869703,474.79,126.838,0.852329,0,0,0,520.379,135.682,0.882144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,452.793,153.246,0.874696,518.902,222.252,0.535604,491.008,238.392,0.370841,466.045,404.389,0.0898834,0,0,0,545.347,206.161,0.596634,540.942,385.274,0.482686,454.316,498.332,0.691339,526.252,501.297,0.121632,502.763,499.814,0.110537,0,0,0,0,0,0,542.412,498.363,0.140449,0,0,0,0,0,0,444.013,140.02,0.821937,470.45,134.185,0.888146,0,0,0,514.545,140.015,0.796067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,451.369,157.581,0.918015,520.345,226.656,0.534901,492.507,239.867,0.367336,466.043,405.817,0.12904,451.381,491.002,0.110775,543.854,211.996,0.573114,533.643,391.159,0.472367,449.863,499.885,0.641086,515.993,505.706,0.128453,495.425,504.226,0.0977142,0,0,0,0,0,0,529.192,502.772,0.148298,0,0,0,0,0,0,441.156,145.828,0.890807,466.086,135.679,0.896274,0,0,0,513.064,144.418,0.847144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,451.292,157.646,0.921219,518.901,228.11,0.51782,495.414,238.416,0.327952,464.558,405.85,0.0841477,0,0,0,539.479,216.407,0.561757,532.119,386.74,0.368579,444.013,501.32,0.675251,514.522,504.222,0.131536,492.494,505.692,0.102428,0,0,0,0,0,0,527.729,502.766,0.145869,0,0,0,0,0,0,441.1,145.914,0.929408,464.65,139.996,0.862575,0,0,0,511.642,145.956,0.900701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,451.292,159.054,0.927969,515.979,228.168,0.524505,492.498,239.914,0.339887,461.66,404.401,0.0924565,0,0,0,539.474,216.339,0.573418,530.676,383.825,0.445902,441.148,502.768,0.670214,523.336,507.153,0.128216,499.834,504.236,0.089261,0,0,0,0,0,0,532.132,507.166,0.157698,0,0,0,0,0,0,441.095,147.298,0.923672,466.032,141.479,0.86249,0,0,0,511.622,147.321,0.909508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,451.345,159.057,0.941075,520.373,228.081,0.500529,498.386,234.029,0.318088,0,0,0,0,0,0,539.499,216.418,0.555024,527.739,382.337,0.43204,442.578,499.857,0.689353,520.379,507.154,0.154625,499.813,504.226,0.108186,0,0,0,0,0,0,527.739,508.632,0.170491,0,0,0,0,0,0,441.127,147.34,0.929703,466.045,141.502,0.860924,0,0,0,513.02,147.346,0.892312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,451.418,157.682,0.942916,521.819,223.745,0.471918,498.376,232.544,0.307078,0,0,0,0,0,0,543.845,213.45,0.55848,533.616,380.841,0.456547,445.481,499.863,0.660843,526.257,491.007,0.136171,0,0,0,0,0,0,0,0,0,529.197,491.013,0.182441,0,0,0,0,0,0,442.582,147.33,0.886522,466.099,139.993,0.845114,0,0,0,514.511,145.932,0.891915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,452.791,157.602,0.937251,520.406,226.679,0.505005,496.876,238.425,0.336505,0,0,0,0,0,0,543.889,211.984,0.548683,535.087,385.274,0.410296,454.338,501.287,0.691571,521.86,508.649,0.150137,504.234,505.689,0.0935475,0,0,0,0,0,0,527.729,514.509,0.162265,0,0,0,0,0,0,444.044,145.892,0.859676,468.981,138.525,0.842864,0,0,0,517.426,145.932,0.883896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,452.848,157.611,0.925917,521.801,223.715,0.488294,496.892,232.528,0.335599,0,0,0,0,0,0,545.303,214.888,0.554493,545.388,372.07,0.373691,464.575,507.161,0.685404,520.375,498.35,0.13166,498.365,498.369,0.109807,0,0,0,0,0,0,536.533,495.424,0.160758,0,0,0,0,0,0,445.489,145.891,0.856111,470.438,137.12,0.850449,0,0,0,518.93,145.841,0.861707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
