,Distances,x,y
682,0.06138258583300536,-0.003670519928349515,0.061272743752845436
683,0.09292294681436734,-0.0016344205807196969,0.09290857180062054
684,0.07873193812414227,-0.005089208988503786,0.07856728347508968
685,0.08410478619453648,-0.006065941753563795,0.0838857521362899
686,0.07822276539594016,-0.0017438562987304351,0.0782033246825074
687,0.07832138991745868,-0.003912047885546414,0.07822362814357176
688,0.08436813940362664,-0.00047650518028656514,0.0843667937594107
689,0.08567544520766839,0.003412642692009457,0.08560745166975163
690,0.059057820661147745,-0.0013628159283098648,0.05904209442414653
691,0.049876296967940895,0.002774081806310692,0.049799091049597746
692,0.03660273605102985,-0.00025105362746581785,0.036601875068054866
693,0.03477115901097043,0.00423615360555688,0.03451215005757128
694,0.01973732526876286,-0.0016291545156836905,0.019669973673825097
695,0.0064784818183875985,0.00410503774657737,0.005011924956576432
696,0.017215519756207033,0.007104056221862426,0.015681406367828506
697,0.023830973741999644,0.00627877775507507,0.022988959510909818
698,0.024561631986175926,0.006582095467309939,0.02366325812485589
699,0.01433913672648792,0.007891041412334567,0.011972564783275786
700,0.011091470032602175,0.006197944409822054,0.009198162456538135
701,0.017662264377750956,0.005670006272087967,0.01672742095554642
702,0.02884755699328321,0.011658819620299892,0.026386615348354805
703,0.02401576573192833,0.008752600349280909,0.02236401106279083
704,0.02121427413694095,0.004188075454594511,0.02079676540099216
705,0.020457285818256767,0.005017382231898926,0.019832458712647667
706,0.03395643588254239,0.007119760598553348,0.03320163470169051
707,0.02855569786681756,-0.00431633729162575,0.02822759488596026
708,0.042255451258960144,-0.0052699007367144664,0.0419255448065202
709,0.04113918503750767,-0.004581281308034108,0.04088330230212516
710,0.04174442062986561,-0.0010182214844790625,0.04173200065575211
711,0.015143103877072335,-0.0022465315087317446,0.014975536424852321
712,0.014519162889642695,0.00330193135171274,0.014138717776536672
713,0.010817872125361035,0.008746064895478524,0.006366530151090269
714,0.014291884370895569,0.007285948633427982,0.012295239378804218
715,0.03766953702671006,0.005075007141982058,0.03732610778417047
716,0.04684512564889278,-0.004219638254768412,0.04665469376235844
717,0.05241872711060821,-0.0005414578502308731,0.052415930548763846
718,0.04563402939086156,0.0008251220354438189,0.04562656914641557
719,0.05418902753045074,-0.0003832596102641653,0.05418767218442852
720,0.05600703565942523,-0.0043212047128253096,0.05584008625697122
721,0.07889759418711298,-0.013277665211069292,0.07777232139429248
722,0.08429961601749547,-0.00589631673375861,0.08409315495135367
723,0.08045284457497827,0.0019091968379112785,0.08043018816116074
724,0.0659755236653268,0.006121765347210698,0.06569089519825246
725,0.06405530609633288,0.0012788587255677948,0.0640425386712218
726,0.0811115209877026,-0.0015947718469663571,0.0810958416917578
727,0.08544549662017646,-0.0002455283052937754,0.08544514385569192
728,0.08890769644575344,-0.003763417693891657,0.08882800895298477
729,0.07449313240402884,-0.00045938487692040285,0.07449171592129576
730,0.07276602955147843,0.002666443010186615,0.07271715848656395
731,0.08317230564672465,-0.0009162770078671442,0.0831672583595073
732,0.08896802399255027,-0.005360260215546021,0.08880640125329162
733,0.08597611418613751,-0.0023851135556180072,0.08594302440497753
734,0.0988715091651214,-0.004669173652311841,0.09876119755244589
